 &SRS
 SRSRUN=14763,SRSDAT=201364,SRSTIM=03110,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gonx	i_pin	Time
-0.48200	1.3346	  0.00
-0.48000	1.3342	  0.00
-0.47800	1.3342	  0.00
-0.47600	1.3346	  0.00
-0.47410	1.3345	  0.00
-0.47200	1.3347	  0.00
-0.47000	1.3348	  0.00
-0.46800	1.3350	  0.00
-0.46590	1.3344	  0.00
-0.46390	1.3344	  0.00
-0.46210	1.3340	  0.00
-0.46000	1.3336	  0.00
-0.45810	1.3341	  0.00
-0.45600	1.3344	  0.00
-0.45400	1.3343	  0.00
-0.45190	1.3343	  0.00
-0.45000	1.3344	  0.00
-0.44800	1.3343	  0.00
-0.44560	1.3343	  0.00
-0.44400	1.3342	  0.00
-0.44200	1.3337	  0.00
-0.44000	1.3336	  0.00
-0.43790	1.3340	  0.00
-0.43610	1.3339	  0.00
-0.43410	1.3336	  0.00
-0.43200	1.3338	  0.00
-0.43000	1.3332	  0.00
-0.42790	1.3336	  0.00
-0.42600	1.3341	  0.00
-0.42400	1.3335	  0.00
-0.42200	1.3335	  0.00
-0.42000	1.3339	  0.00
-0.41790	1.3332	  0.00
-0.41600	1.3327	  0.00
-0.41400	1.3326	  0.00
-0.41200	1.3333	  0.00
-0.41000	1.3335	  0.00
-0.40810	1.3332	  0.00
-0.40600	1.3331	  0.00
-0.40410	1.3326	  0.00
-0.40200	1.3327	  0.00
-0.40000	1.3328	  0.00
-0.39800	1.3324	  0.00
-0.39600	1.3325	  0.00
-0.39400	1.3330	  0.00
-0.39200	1.3331	  0.00
-0.39000	1.3332	  0.00
-0.38800	1.3329	  0.00
-0.38610	1.3329	  0.00
-0.38410	1.3329	  0.00
-0.38200	1.3335	  0.00
-0.38000	1.3332	  0.00
-0.37790	1.3329	  0.00
-0.37610	1.3327	  0.00
-0.37400	1.3327	  0.00
-0.37210	1.3308	  0.00
-0.36990	1.3315	  0.00
-0.36810	1.3328	  0.00
-0.36590	1.3336	  0.00
-0.36410	1.3355	  0.00
-0.36200	1.3059	  0.00
-0.36010	1.3124	  0.00
-0.35790	1.3304	  0.00
-0.35590	1.3329	  0.00
-0.35400	1.3228	  0.00
-0.35190	1.3246	  0.00
-0.35000	1.3243	  0.00
-0.34810	1.3252	  0.00
-0.34610	1.3247	  0.00
-0.34400	1.3254	  0.00
-0.34200	1.3409	  0.00
-0.34000	1.3397	  0.00
-0.33800	1.3527	  0.00
-0.33610	1.3526	  0.00
-0.33430	1.3526	  0.00
-0.33200	1.3533	  0.00
-0.33000	1.3536	  0.00
-0.32800	1.3542	  0.00
-0.32600	1.3539	  0.00
-0.32390	1.3539	  0.00
-0.32200	1.3542	  0.00
-0.32000	1.3539	  0.00
-0.31800	1.3539	  0.00
-0.31610	1.3541	  0.00
-0.31400	1.3543	  0.00
-0.31200	1.3544	  0.00
-0.31010	1.3544	  0.00
-0.30790	1.3547	  0.00
-0.30600	1.3546	  0.00
-0.30400	1.3543	  0.00
-0.30200	1.3539	  0.00
-0.30000	1.3545	  0.00
-0.29800	1.3546	  0.00
-0.29610	1.3549	  0.00
-0.29400	1.3544	  0.00
-0.29200	1.3540	  0.00
-0.29000	1.3539	  0.00
-0.28810	1.3545	  0.00
-0.28600	1.3544	  0.00
-0.28400	1.3544	  0.00
-0.28200	1.3547	  0.00
-0.28000	1.3546	  0.00
-0.27800	1.3547	  0.00
-0.27590	1.3547	  0.00
-0.27400	1.3547	  0.00
-0.27200	1.3543	  0.00
-0.27000	1.3545	  0.00
-0.26810	1.3541	  0.00
-0.26580	1.3539	  0.00
-0.26400	1.3540	  0.00
-0.26200	1.3544	  0.00
-0.25990	1.3546	  0.00
-0.25800	1.3544	  0.00
-0.25590	1.3543	  0.00
-0.25390	1.3543	  0.00
-0.25200	1.3545	  0.00
-0.25000	1.3538	  0.00
-0.24790	1.3536	  0.00
-0.24600	1.3544	  0.00
-0.24410	1.3542	  0.00
-0.24200	1.3544	  0.00
-0.24010	1.3542	  0.00
-0.23790	1.3545	  0.00
-0.23600	1.3546	  0.00
-0.23410	1.3547	  0.00
-0.23200	1.3543	  0.00
-0.23000	1.3543	  0.00
-0.22800	1.3540	  0.00
-0.22600	1.3543	  0.00
-0.22390	1.3543	  0.00
-0.22200	1.3542	  0.00
-0.21990	1.3543	  0.00
-0.21810	1.3547	  0.00
-0.21610	1.3546	  0.00
-0.21390	1.3545	  0.00
-0.21210	1.3544	  0.00
-0.21000	1.3540	  0.00
-0.20800	1.3543	  0.00
-0.20610	1.3544	  0.00
-0.20400	1.3544	  0.00
-0.20200	1.3541	  0.00
-0.20010	1.3539	  0.00
-0.19800	1.3541	  0.00
-0.19600	1.3542	  0.00
-0.19400	1.3544	  0.00
-0.19200	1.3546	  0.00
-0.19000	1.3545	  0.00
-0.18810	1.3537	  0.00
-0.18600	1.3534	  0.00
-0.18400	1.3533	  0.00
-0.18200	1.3538	  0.00
-0.18000	1.3537	  0.00
-0.17800	1.3541	  0.00
-0.17610	1.3535	  0.00
-0.17400	1.3541	  0.00
-0.17200	1.3540	  0.00
-0.17000	1.3542	  0.00
-0.16810	1.3536	  0.00
-0.16610	1.3534	  0.00
-0.16390	1.3534	  0.00
-0.16200	1.3535	  0.00
-0.16000	1.3538	  0.00
-0.15790	1.3538	  0.00
-0.15600	1.3533	  0.00
-0.15400	1.3528	  0.00
-0.15190	1.3532	  0.00
-0.15000	1.3535	  0.00
-0.14790	1.3535	  0.00
-0.14590	1.3532	  0.00
-0.14390	1.3533	  0.00
-0.14200	1.3532	  0.00
-0.14000	1.3537	  0.00
-0.13800	1.3535	  0.00
-0.13590	1.3529	  0.00
-0.13400	1.3530	  0.00
-0.13190	1.3533	  0.00
-0.13000	1.3532	  0.00
-0.12810	1.3534	  0.00
-0.12580	1.3535	  0.00
-0.12400	1.3534	  0.00
-0.12200	1.3529	  0.00
-0.11990	1.3530	  0.00
-0.11800	1.3525	  0.00
-0.11600	1.3523	  0.00
-0.11400	1.3527	  0.00
-0.11200	1.3526	  0.00
-0.11000	1.3529	  0.00
-0.10790	1.3532	  0.00
-0.10630	1.3525	  0.00
-0.10400	1.3523	  0.00
-0.10200	1.3527	  0.00
-0.099900	1.3528	  0.00
-0.098000	1.3522	  0.00
-0.095900	1.3528	  0.00
-0.094000	1.3527	  0.00
-0.092000	1.3526	  0.00
-0.090000	1.3523	  0.00
-0.088300	1.3525	  0.00
-0.086000	1.3526	  0.00
-0.084000	1.3525	  0.00
-0.082000	1.3526	  0.00
-0.079900	1.3528	  0.00
-0.078000	1.3527	  0.00
-0.076200	1.3524	  0.00
