site_id,longitude,latitude,State,County,fraction_of_usable_area,power_curve,capacity,wind_speed,capacity_factor,full_timeseries_directory,full_timeseries_path
267,-81.915894,24.925697,Unknown,Unknown,1,offshore,16,6.37,0.227,0,0/267.nc
268,-81.896851,24.922615,Unknown,Unknown,1,offshore,16,6.38,0.228,0,0/268.nc
269,-81.877808,24.91954,Unknown,Unknown,1,offshore,16,6.38,0.228,0,0/269.nc
270,-81.858765,24.916481,Unknown,Unknown,1,offshore,16,6.39,0.228,0,0/270.nc
271,-81.839752,24.913399,Unknown,Unknown,1,offshore,16,6.39,0.229,0,0/271.nc
272,-81.820709,24.910294,Unknown,Unknown,1,offshore,16,6.4,0.229,0,0/272.nc
273,-81.801697,24.907211,Unknown,Unknown,1,offshore,16,6.4,0.229,0,0/273.nc
274,-81.725586,24.894798,Unknown,Unknown,1,offshore,16,6.42,0.231,0,0/274.nc
275,-81.706543,24.891693,Unknown,Unknown,1,offshore,16,6.43,0.231,0,0/275.nc
276,-81.687531,24.888565,Unknown,Unknown,1,offshore,16,6.44,0.232,0,0/276.nc
277,-81.668518,24.885452,Unknown,Unknown,1,offshore,16,6.44,0.232,0,0/277.nc
278,-81.649475,24.882332,Unknown,Unknown,1,offshore,16,6.45,0.233,0,0/278.nc
279,-81.573425,24.869789,Unknown,Unknown,1,offshore,16,6.48,0.234,0,0/279.nc
280,-81.554413,24.866653,Unknown,Unknown,1,offshore,16,6.49,0.235,0,0/280.nc
281,-81.5354,24.863503,Unknown,Unknown,1,offshore,16,6.5,0.235,0,0/281.nc
282,-81.516388,24.860344,Unknown,Unknown,1,offshore,16,6.5,0.236,0,0/282.nc
283,-81.497375,24.857201,Unknown,Unknown,1,offshore,16,6.51,0.236,0,0/283.nc
